id,name,email,phone,ltv,total_payments,successful_payments,failed_payments,segment,opted_out,created_at
CUST00001,Krishna Sharma,krishna.sharma1@outlook.com,9362950628,115741.26,39,38,1,regular,False,2026-07-26 20:35:20
CUST00002,Saanvi Nair,saanvi.nair2@hotmail.com,9746412689,279244.47,103,92,11,high_value,False,2025-05-23 02:32:44
CUST00003,Neha Sharma,neha.sharma3@yahoo.com,9849621470,56123.27,18,15,3,regular,False,2026-05-23 10:10:03
CUST00004,Reyansh Joshi,reyansh.joshi4@outlook.com,9748245888,25648.56,34,31,3,regular,False,2025-08-03 21:07:52
CUST00005,Manoj Reddy,manoj.reddy5@hotmail.com,9488302652,111594.34,7,6,1,regular,False,2026-06-05 15:31:28
CUST00006,Reyansh Desai,reyansh.desai6@outlook.com,9586845604,67428.18,28,26,2,regular,False,2024-09-06 00:24:21
CUST00007,Arjun Menon,arjun.menon7@yahoo.com,9673528321,41242.32,29,27,2,regular,False,2024-09-20 03:43:20
CUST00008,Myra Chatterjee,myra.chatterjee8@outlook.com,9924970419,13016.68,4,2,2,at_risk,False,2026-06-19 16:19:07
CUST00009,Anjali Das,anjali.das9@outlook.com,9328306011,71432.15,34,33,1,regular,False,2025-01-28 04:22:36
CUST00010,Priya Mishra,priya.mishra10@hotmail.com,9560027313,18979.02,10,5,5,at_risk,False,2025-04-07 20:41:25
CUST00011,Vihaan Gupta,vihaan.gupta11@yahoo.com,9773715057,108462.56,9,8,1,regular,False,2025-05-03 04:44:08
CUST00012,Priya Agarwal,priya.agarwal12@gmail.com,9830448745,108622.35,39,34,5,regular,False,2025-09-11 19:56:19
CUST00013,Kavya Kapoor,kavya.kapoor13@yahoo.com,9587182120,619359.84,112,106,6,high_value,False,2026-02-24 05:30:58
CUST00014,Reyansh Bose,reyansh.bose14@outlook.com,9786066793,45858.44,28,25,3,regular,False,2025-02-28 23:58:46
CUST00015,Varun Mehta,varun.mehta15@rediffmail.com,9120912992,385937.5,59,56,3,high_value,False,2025-01-22 21:07:58
CUST00016,Sai Mishra,sai.mishra16@rediffmail.com,9976198296,644391.41,118,114,4,high_value,False,2025-02-09 17:59:17
CUST00017,Priya Bansal,priya.bansal17@hotmail.com,9554340903,13933.7,1,1,0,new,False,2024-10-07 00:20:20
CUST00018,Sanjay Malhotra,sanjay.malhotra18@hotmail.com,9584779555,296053.27,63,62,1,high_value,False,2024-12-31 15:58:56
CUST00019,Aarav Patel,aarav.patel19@gmail.com,9345824373,170418.42,62,60,2,high_value,False,2024-10-09 06:19:36
CUST00020,Saanvi Agarwal,saanvi.agarwal20@yahoo.com,9876693898,8565.65,3,3,0,new,False,2025-07-05 17:04:03
CUST00021,Reyansh Gupta,reyansh.gupta21@rediffmail.com,9480424119,80713.21,8,7,1,regular,False,2026-05-17 21:47:36
CUST00022,Sneha Mishra,sneha.mishra22@outlook.com,9959629660,13702.97,9,5,4,at_risk,False,2026-02-19 13:51:31
CUST00023,Arun Nair,arun.nair23@gmail.com,9575808013,34958.84,6,4,2,at_risk,False,2026-08-10 20:36:16
CUST00024,Anika Singh,anika.singh24@rediffmail.com,9621453189,132404.55,8,8,0,regular,True,2025-07-22 14:20:40
CUST00025,Arun Reddy,arun.reddy25@rediffmail.com,9847959430,14931.34,4,3,1,new,False,2026-02-12 13:11:50
CUST00026,Saanvi Verma,saanvi.verma26@hotmail.com,9889991777,117236.82,8,8,0,regular,False,2025-02-28 18:16:05
CUST00027,Vihaan Bansal,vihaan.bansal27@gmail.com,9299528037,194174.56,50,46,4,high_value,False,2025-01-19 15:02:09
CUST00028,Shreya Menon,shreya.menon28@gmail.com,9765055833,577292.56,92,84,8,high_value,False,2026-01-28 12:33:40
CUST00029,Anika Iyer,anika.iyer29@rediffmail.com,9240529481,58999.62,25,21,4,regular,False,2026-08-16 07:18:52
CUST00030,Nikhil Pillai,nikhil.pillai30@gmail.com,9178663096,85765.01,13,11,2,regular,False,2025-12-18 10:32:46
CUST00031,Kavya Singh,kavya.singh31@rediffmail.com,9995226828,59327.23,38,37,1,regular,False,2025-10-23 20:13:43
CUST00032,Ishaan Iyer,ishaan.iyer32@gmail.com,9214929002,40208.23,23,21,2,regular,False,2026-01-29 00:54:30
CUST00033,Priya Bansal,priya.bansal33@rediffmail.com,9369639388,12691.56,0,0,0,new,False,2026-07-11 23:52:16
CUST00034,Rahul Kumar,rahul.kumar34@outlook.com,9273497327,91718.45,32,29,3,regular,False,2024-09-17 18:34:24
CUST00035,Rakesh Verma,rakesh.verma35@outlook.com,9725464884,75872.27,7,7,0,regular,False,2026-07-16 10:58:22
CUST00036,Saanvi Chatterjee,saanvi.chatterjee36@yahoo.com,9816114302,657075.56,72,61,11,high_value,False,2025-12-26 18:05:01
CUST00037,Diya Kapoor,diya.kapoor37@gmail.com,9292587044,63184.11,31,27,4,regular,False,2025-12-14 14:17:10
CUST00038,Ananya Das,ananya.das38@gmail.com,9510751046,35050.76,10,7,3,at_risk,False,2025-09-01 12:53:19
CUST00039,Myra Nair,myra.nair39@gmail.com,9808705238,62674.05,9,8,1,regular,False,2024-11-07 05:27:12
CUST00040,Sneha Chatterjee,sneha.chatterjee40@hotmail.com,9455569462,1730.13,2,2,0,new,False,2025-11-27 22:36:26
CUST00041,Reyansh Menon,reyansh.menon41@rediffmail.com,9471178705,60778.05,37,36,1,regular,False,2026-02-12 14:43:34
CUST00042,Aditya Das,aditya.das42@rediffmail.com,9101815992,124846.41,17,16,1,regular,True,2024-10-14 11:58:41
CUST00043,Nikhil Mehta,nikhil.mehta43@gmail.com,9872830248,7606.84,3,2,1,new,False,2025-02-04 19:21:57
CUST00044,Aadhya Kapoor,aadhya.kapoor44@rediffmail.com,9827264603,42623.55,24,22,2,regular,False,2025-10-18 13:33:14
CUST00045,Saanvi Kapoor,saanvi.kapoor45@hotmail.com,9751397897,80448.46,33,29,4,regular,False,2026-03-05 00:00:44
CUST00046,Sai Reddy,sai.reddy46@hotmail.com,9812807629,63574.47,20,18,2,regular,False,2026-02-03 18:38:07
CUST00047,Vivaan Verma,vivaan.verma47@yahoo.com,9610173760,119903.61,34,31,3,regular,False,2026-02-07 10:01:12
CUST00048,Suresh Desai,suresh.desai48@yahoo.com,9258453521,20720.83,11,10,1,regular,False,2024-09-12 05:08:31
CUST00049,Arun Verma,arun.verma49@hotmail.com,9367574609,1820.38,1,1,0,new,False,2025-01-30 02:19:13
CUST00050,Karan Malhotra,karan.malhotra50@hotmail.com,9975106572,85621.16,40,37,3,regular,False,2025-04-26 07:36:49
CUST00051,Priya Nair,priya.nair51@outlook.com,9922286180,21960.9,10,7,3,at_risk,True,2025-11-06 15:27:45
CUST00052,Neha Mehta,neha.mehta52@outlook.com,9679984033,248039.93,69,61,8,high_value,False,2026-06-21 08:53:43
CUST00053,Meera Mehta,meera.mehta53@hotmail.com,9600282414,46888.47,31,29,2,regular,False,2024-09-12 23:17:20
CUST00054,Anjali Desai,anjali.desai54@rediffmail.com,9106330865,4479.19,3,2,1,new,False,2025-06-22 04:24:15
CUST00055,Rakesh Menon,rakesh.menon55@yahoo.com,9624232414,76658.68,6,6,0,regular,False,2025-07-07 17:59:28
CUST00056,Arun Kumar,arun.kumar56@hotmail.com,9673510887,406113.17,92,82,10,high_value,False,2025-06-13 19:03:34
CUST00057,Arun Singh,arun.singh57@gmail.com,9379340713,47515.84,25,23,2,regular,False,2025-11-14 08:39:05
CUST00058,Priya Patel,priya.patel58@rediffmail.com,9120812641,26771.13,27,26,1,regular,True,2024-10-27 22:32:04
CUST00059,Vivaan Nair,vivaan.nair59@yahoo.com,9121882877,51010.84,35,31,4,regular,False,2026-01-14 07:04:08
CUST00060,Priya Joshi,priya.joshi60@yahoo.com,9750572325,117230.33,12,11,1,regular,False,2025-10-11 20:03:52
CUST00061,Shreya Sharma,shreya.sharma61@outlook.com,9718257024,144562.47,30,26,4,regular,False,2024-12-27 01:09:47
CUST00062,Anika Gupta,anika.gupta62@outlook.com,9834717549,35737.16,7,7,0,regular,False,2025-08-11 21:29:22
CUST00063,Lakshmi Bose,lakshmi.bose63@outlook.com,9113585139,33781.58,6,4,2,at_risk,False,2025-05-12 18:25:48
CUST00064,Nisha Singh,nisha.singh64@hotmail.com,9798423334,125065.9,39,34,5,regular,False,2024-12-27 14:13:41
CUST00065,Karan Nair,karan.nair65@gmail.com,9399496923,13535.22,17,10,7,at_risk,False,2025-09-15 22:57:19
CUST00066,Suresh Mehta,suresh.mehta66@yahoo.com,9623502759,123718.21,26,25,1,regular,False,2025-11-16 03:45:52
CUST00067,Aarav Bansal,aarav.bansal67@yahoo.com,9191926217,72835.66,40,35,5,regular,False,2024-11-02 06:07:48
CUST00068,Vikram Sharma,vikram.sharma68@gmail.com,9415933049,109932.33,24,21,3,regular,False,2025-02-05 04:40:12
CUST00069,Amit Kapoor,amit.kapoor69@hotmail.com,9455184454,78986.88,24,23,1,regular,False,2026-02-09 12:30:41
CUST00070,Krishna Mishra,krishna.mishra70@hotmail.com,9918394863,44900.33,35,33,2,regular,False,2025-03-06 02:16:18
CUST00071,Kavya Gupta,kavya.gupta71@yahoo.com,9418092217,43327.4,5,4,1,regular,False,2026-07-10 22:00:54
CUST00072,Manoj Reddy,manoj.reddy72@yahoo.com,9784907325,22180.75,3,2,1,at_risk,False,2025-05-31 11:35:43
CUST00073,Diya Verma,diya.verma73@outlook.com,9612957813,192473.23,82,80,2,high_value,False,2026-07-02 18:28:33
CUST00074,Rohan Pillai,rohan.pillai74@outlook.com,9191462297,1776.77,3,2,1,new,False,2026-01-06 04:58:26
CUST00075,Pooja Malhotra,pooja.malhotra75@rediffmail.com,9419280490,39651.09,12,7,5,at_risk,True,2026-05-16 16:26:05
CUST00076,Saanvi Iyer,saanvi.iyer76@gmail.com,9268638768,91758.99,15,15,0,regular,False,2024-12-25 06:53:28
CUST00077,Kavya Verma,kavya.verma77@yahoo.com,9409350265,111388.38,34,33,1,regular,False,2025-11-28 01:14:33
CUST00078,Shreya Chatterjee,shreya.chatterjee78@yahoo.com,9556489494,296126.14,39,34,5,high_value,False,2026-06-13 21:49:44
CUST00079,Ananya Reddy,ananya.reddy79@hotmail.com,9904187231,37241.74,17,12,5,at_risk,False,2024-09-08 09:20:43
CUST00080,Neha Bansal,neha.bansal80@hotmail.com,9630208579,97744.77,32,28,4,regular,False,2026-07-30 20:40:30
CUST00081,Myra Chatterjee,myra.chatterjee81@hotmail.com,9730418447,14993.59,2,2,0,new,False,2026-02-27 06:52:11
CUST00082,Divya Bose,divya.bose82@rediffmail.com,9398668350,96092.85,36,31,5,regular,False,2025-07-03 11:51:53
CUST00083,Karan Chatterjee,karan.chatterjee83@gmail.com,9272684373,110177.58,23,21,2,regular,False,2025-02-08 22:39:51
CUST00084,Arun Patel,arun.patel84@outlook.com,9371011200,146124.01,30,26,4,regular,False,2026-08-24 00:03:20
CUST00085,Rakesh Malhotra,rakesh.malhotra85@rediffmail.com,9158201193,67031.32,36,32,4,regular,False,2026-01-29 14:16:37
CUST00086,Manoj Kumar,manoj.kumar86@outlook.com,9570423569,21964.91,3,1,2,at_risk,False,2025-12-23 18:14:02
CUST00087,Riya Agarwal,riya.agarwal87@gmail.com,9692975437,49211.09,12,11,1,regular,False,2026-03-21 05:51:17
CUST00088,Kavya Bansal,kavya.bansal88@outlook.com,9546129354,39308.56,10,6,4,at_risk,False,2026-02-11 02:10:39
CUST00089,Lakshmi Mishra,lakshmi.mishra89@yahoo.com,9174958005,122700.8,31,29,2,regular,False,2025-11-25 23:54:24
CUST00090,Kavya Mishra,kavya.mishra90@outlook.com,9999232921,149857.3,36,31,5,regular,False,2025-04-17 11:26:04
CUST00091,Rahul Agarwal,rahul.agarwal91@hotmail.com,9505026213,61831.06,17,14,3,regular,False,2025-07-29 15:29:47
CUST00092,Meera Verma,meera.verma92@outlook.com,9899621068,138745.92,29,27,2,regular,False,2024-10-27 18:27:44
CUST00093,Suresh Verma,suresh.verma93@yahoo.com,9639331014,4979.92,0,0,0,new,False,2025-03-05 07:21:50
CUST00094,Aarav Mishra,aarav.mishra94@yahoo.com,9540211187,38948.49,5,3,2,at_risk,False,2025-09-13 01:18:29
CUST00095,Sneha Bose,sneha.bose95@gmail.com,9452794611,35076.98,15,7,8,at_risk,False,2025-04-13 04:18:08
CUST00096,Aditya Menon,aditya.menon96@gmail.com,9352082631,139720.78,19,17,2,regular,False,2026-05-17 00:55:34
CUST00097,Reyansh Malhotra,reyansh.malhotra97@yahoo.com,9845178074,23763.14,25,22,3,regular,False,2025-08-07 08:19:10
CUST00098,Rohan Nair,rohan.nair98@hotmail.com,9542437192,123027.53,15,14,1,regular,False,2025-07-30 01:26:14
CUST00099,Anika Chopra,anika.chopra99@hotmail.com,9253671484,102927.6,34,32,2,regular,True,2025-05-06 13:31:40
CUST00100,Rakesh Singh,rakesh.singh100@gmail.com,9574303740,14814.78,2,1,1,new,False,2025-12-12 07:22:02
CUST00101,Riya Rao,riya.rao101@rediffmail.com,9618840705,397886.79,65,59,6,high_value,False,2025-10-27 23:12:05
